CD_MUN;NM_MUN;CD_RGI;NM_RGI;CD_RGINT;NM_RGINT;CD_UF;NM_UF;SIGLA_UF;CD_REGIA;NM_REGIA;SIGLA_RG;CD_CONCU;NM_CONCU;AREA_KM2
2504108;Carrapateira;250015;Cajazeiras;2504;Sousa - Cajazeiras;25;Para?¡ba;PB;2;Nordeste;NE;;;59,070
1718451;Pugmil;170003;Para?¡so do Tocantins;1701;Palmas;17;Tocantins;TO;1;Norte;N;;;401,174
2104206;Fortuna;210016;Presidente Dutra;2104;Presidente Dutra;21;Maranh?úo;MA;2;Nordeste;NE;;;835,668
5219902;S?úo Francisco de Goi?ís;520002;An?ípolis;5201;Goi?ónia;52;Goi?ís;GO;5;Centro-oeste;CO;;;416,535
2708600;S?úo Miguel dos Campos;270004;S?úo Miguel dos Campos;2701;Macei??;27;Alagoas;AL;2;Nordeste;NE;;;335,679
1703883;Carmol?óndia;170005;Aragua?¡na;1702;Aragua?¡na;17;Tocantins;TO;1;Norte;N;;;339,366
1501782;Breu Branco;150011;Tucuru?¡;1503;Marab?í;15;Par?í;PA;1;Norte;N;;;3941,736
4316204;Rondinha;430028;Carazinho;4306;Passo Fundo;43;Rio Grande do Sul;RS;4;Sul;S;;;252,454
4317558;Santo Ant??nio do Palma;430030;Marau;4306;Passo Fundo;43;Rio Grande do Sul;RS;4;Sul;S;;;126,094
4209508;Laurentino;420022;Rio do Sul;4207;Blumenau;42;Santa Catarina;SC;4;Sul;S;;;79,333
3104106;Arceburgo;310044;Guaxup?®;3108;Varginha;31;Minas Gerais;MG;3;Sudeste;SE;;;162,875
1720804;S?¡tio Novo do Tocantins;170009;Araguatins;1702;Aragua?¡na;17;Tocantins;TO;1;Norte;N;;;307,095
4202107;Barra Velha;420020;Itaja?¡;4207;Blumenau;42;Santa Catarina;SC;4;Sul;S;4208203;Itaja?¡ - Balne?írio Cambori??/SC;138,947
4217808;Tai??;420022;Rio do Sul;4207;Blumenau;42;Santa Catarina;SC;4;Sul;S;;;693,847
4319307;S?úo Paulo das Miss?Áes;430024;Cerro Largo;4305;Iju?¡;43;Rio Grande do Sul;RS;4;Sul;S;;;222,504
3112802;Capit??lio;310049;Piumhi;3108;Varginha;31;Minas Gerais;MG;3;Sudeste;SE;;;521,802
1301159;Careiro da V?írzea;130001;Manaus;1301;Manaus;13;Amazonas;AM;1;Norte;N;;;2627,474
3513009;Cotia;350001;S?úo Paulo;3501;S?úo Paulo;35;S?úo Paulo;SP;3;Sudeste;SE;3550308;S?úo Paulo/SP;323,994
3120870;Curral de Dentro;310008;Salinas;3102;Montes Claros;31;Minas Gerais;MG;3;Sudeste;SE;;;570,950
5215652;Palestina de Goi?ís;520014;Ipor?í;5204;S?úo Lu?¡s de Montes Belos - Ipor?í;52;Goi?ís;GO;5;Centro-oeste;CO;;;1318,047
3532827;Nova Campina;350004;Itapeva;3502;Sorocaba;35;S?úo Paulo;SP;3;Sudeste;SE;;;385,375
3502507;Aparecida;350052;Guaratinguet?í;3511;S?úo Jos?® dos Campos;35;S?úo Paulo;SP;3;Sudeste;SE;3518404;Guaratinguet?í/SP;120,890
4311429;Lajeado do Bugre;430034;Palmeira das Miss?Áes;4306;Passo Fundo;43;Rio Grande do Sul;RS;4;Sul;S;;;67,947
2701407;Campo Alegre;270004;S?úo Miguel dos Campos;2701;Macei??;27;Alagoas;AL;2;Nordeste;NE;;;312,726
1707108;Divin??polis do Tocantins;170003;Para?¡so do Tocantins;1701;Palmas;17;Tocantins;TO;1;Norte;N;;;2358,282
3302601;Mangaratiba;330001;Rio de Janeiro;3301;Rio de Janeiro;33;Rio de Janeiro;RJ;3;Sudeste;SE;3304557;Rio de Janeiro/RJ;367,606
4318002;S?úo Borja;430017;S?úo Borja;4304;Uruguaiana;43;Rio Grande do Sul;RS;4;Sul;S;;;3616,674
3117207;Concei?º?úo das Pedras;310052;Itajub?í;3109;Pouso Alegre;31;Minas Gerais;MG;3;Sudeste;SE;;;102,206
3156403;Romaria;310061;Monte Carmelo;3111;Uberl?óndia;31;Minas Gerais;MG;3;Sudeste;SE;;;407,557
1501758;Brejo Grande do Araguaia;150009;Marab?í;1503;Marab?í;15;Par?í;PA;1;Norte;N;;;1288,473
3200409;Anchieta;320001;Vit??ria;3201;Vit??ria;32;Esp?¡rito Santo;ES;3;Sudeste;SE;;;409,691
5106281;Novo S?úo Joaquim;510013;Barra do Gar?ºas;5104;Barra do Gar?ºas;51;Mato Grosso;MT;5;Centro-oeste;CO;;;5225,595
2307403;Juc?ís;230009;Iguatu;2303;Iguatu;23;Cear?í;CE;2;Nordeste;NE;;;940,336
3543303;Ribeir?úo Pires;350001;S?úo Paulo;3501;S?úo Paulo;35;S?úo Paulo;SP;3;Sudeste;SE;3550308;S?úo Paulo/SP;98,972
2412609;S?úo Paulo do Potengi;240006;S?úo Paulo do Potengi;2401;Natal;24;Rio Grande do Norte;RN;2;Nordeste;NE;;;240,425
2802700;Ilha das Flores;280003;Propri?í;2801;Aracaju;28;Sergipe;SE;2;Nordeste;NE;;;52,693
2906899;Cara?¡bas;290011;Vit??ria da Conquista;2904;Vit??ria da Conquista;29;Bahia;BA;2;Nordeste;NE;;;805,629
3107802;Bom Jesus do Galho;310025;Caratinga;3105;Ipatinga;31;Minas Gerais;MG;3;Sudeste;SE;;;592,289
2312809;Senador S?í;230015;Sobral;2306;Sobral;23;Cear?í;CE;2;Nordeste;NE;;;424,642
4308607;Garibaldi;430037;Bento Gon?ºalves;4307;Caxias do Sul;43;Rio Grande do Sul;RS;4;Sul;S;4302105;Bento Gon?ºalves/RS;168,492
1500404;Alenquer;150015;Santar?®m;1505;Santar?®m;15;Par?í;PA;1;Norte;N;;;23644,385
4116703;Nova Aurora;410006;Cascavel;4103;Cascavel;41;Paran?í;PR;4;Sul;S;;;470,642
3542008;Quintana;350013;Mar?¡lia;3504;Mar?¡lia;35;S?úo Paulo;SP;3;Sudeste;SE;;;318,937
2404309;Governador Dix-Sept Rosado;240009;Mossor??;2403;Mossor??;24;Rio Grande do Norte;RN;2;Nordeste;NE;;;1109,360
3139250;Mamonas;310012;Espinosa;3102;Montes Claros;31;Minas Gerais;MG;3;Sudeste;SE;;;284,365
2509800;Mulungu;250002;Guarabira;2501;Jo?úo Pessoa;25;Para?¡ba;PB;2;Nordeste;NE;;;187,259
3106507;Berilo;310017;Ara?ºua?¡;3103;Te??filo Otoni;31;Minas Gerais;MG;3;Sudeste;SE;;;587,106
1505205;Oeiras do Par?í;150002;Camet?í;1501;Bel?®m;15;Par?í;PA;1;Norte;N;;;3852,291
4202156;Belmonte;420009;S?úo Miguel do Oeste;4204;Chapec??;42;Santa Catarina;SC;4;Sul;S;;;93,852
3128303;Guaran?®sia;310044;Guaxup?®;3108;Varginha;31;Minas Gerais;MG;3;Sudeste;SE;;;294,828
1303700;Santo Ant??nio do I?º?í;130006;Tabatinga;1302;Tef?®;13;Amazonas;AM;1;Norte;N;;;12382,380
5005806;Nioaque;500011;Jardim;5003;Corumb?í;50;Mato Grosso do Sul;MS;5;Centro-oeste;CO;;;3909,738
3114600;Carrancas;310043;Lavras;3108;Varginha;31;Minas Gerais;MG;3;Sudeste;SE;;;727,894
3545100;Salmour?úo;350019;Adamantina - Luc?®lia;3505;Presidente Prudente;35;S?úo Paulo;SP;3;Sudeste;SE;;;172,934
3306107;Valen?ºa;330006;Valen?ºa;3302;Volta Redonda - Barra Mansa;33;Rio de Janeiro;RJ;3;Sudeste;SE;;;1300,767
3144672;Nova Bel?®m;310022;Mantena;3104;Governador Valadares;31;Minas Gerais;MG;3;Sudeste;SE;;;146,775
2806206;Salgado;280005;Lagarto;2802;Itabaiana;28;Sergipe;SE;2;Nordeste;NE;;;247,579
2611903;Rio Formoso;260007;Barreiros - Sirinha?®m;2601;Recife;26;Pernambuco;PE;2;Nordeste;NE;;;227,458
